id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_kasus_meninggal,satuan,tahun
289,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,2,ORANG,2019
290,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,0,ORANG,2019
291,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,0,ORANG,2019
292,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,0,ORANG,2019
293,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,1,ORANG,2019
294,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,0,ORANG,2019
295,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,3,ORANG,2019
296,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,1,ORANG,2019
297,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,0,ORANG,2019
298,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,0,ORANG,2019
299,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,1,ORANG,2019
300,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,1,ORANG,2019
301,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,1,ORANG,2019
302,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,4,ORANG,2019
303,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,1,ORANG,2019
304,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,4,ORANG,2019
305,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,0,ORANG,2019
306,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,0,ORANG,2019
307,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,2,ORANG,2019
308,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,8,ORANG,2019
309,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,1,ORANG,2019
310,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,1,ORANG,2019
311,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,10,ORANG,2019
312,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,4,ORANG,2019
313,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,1,ORANG,2019
314,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,1,ORANG,2019
315,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,2,ORANG,2019
316,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,2,ORANG,2019
317,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,0,ORANG,2019
318,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,0,ORANG,2019
319,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,2,ORANG,2019
320,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,0,ORANG,2019
321,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,0,ORANG,2019
322,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,6,ORANG,2019
323,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,0,ORANG,2019
324,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,1,ORANG,2019
325,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,7,ORANG,2020
326,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,4,ORANG,2020
327,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,2,ORANG,2020
328,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,3,ORANG,2020
