id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_kasus_meninggal,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,9,ORANG,2014
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,20,ORANG,2014
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,6,ORANG,2014
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,2,ORANG,2014
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,2,ORANG,2014
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,1,ORANG,2014
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,2,ORANG,2014
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,2,ORANG,2014
9,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,0,ORANG,2014
10,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,0,ORANG,2014
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,1,ORANG,2014
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,2,ORANG,2014
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,4,ORANG,2014
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,0,ORANG,2014
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,1,ORANG,2014
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,2,ORANG,2014
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,15,ORANG,2014
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,11,ORANG,2014
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,1,ORANG,2014
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,1,ORANG,2014
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,3,ORANG,2014
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,4,ORANG,2014
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,6,ORANG,2014
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,11,ORANG,2014
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,1,ORANG,2014
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,7,ORANG,2014
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,0,ORANG,2014
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,0,ORANG,2014
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,0,ORANG,2014
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,7,ORANG,2014
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,3,ORANG,2014
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,1,ORANG,2014
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,3,ORANG,2014
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,2,ORANG,2014
35,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,0,ORANG,2014
36,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,1,ORANG,2014
37,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,4,ORANG,2014
38,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,3,ORANG,2014
39,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,2,ORANG,2014
40,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,4,ORANG,2014
41,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,2,ORANG,2014
42,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,7,ORANG,2014
43,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,5,ORANG,2014
44,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,2,ORANG,2014
45,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,8,ORANG,2014
46,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,8,ORANG,2014
47,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,2,ORANG,2014
48,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,2,ORANG,2014
49,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,0,ORANG,2014
